objid,ra,dec
SSTSL2 J043724.59-675525.9,69.352491,-67.923863
SSTSL2 J105452.14-615209.2,163.717252,-61.869238
SSTSL2 J055012.63-664340.7,87.55266,-66.727999
SSTSL2 J002629.94-725203.4,6.624767,-72.867619
SSTSL2 J005026.91-713859.8,12.612141,-71.649956
SSTSL2 J174508.56+053329.4,266.285668,5.558184
SSTSL2 J161002.71+540502.1,242.51131,54.08394
SSTSL2 J061105.45-063909.4,92.772742,-6.652616
SSTSL2 J141156.27-651032.3,212.984476,-65.175655
SSTSL2 J021301.85-750101.0,33.25772,-75.016967
SSTSL2 J004024.35-725939.4,10.101479,-72.994286
SSTSL2 J011121.53-743117.2,17.839728,-74.521454
SSTSL2 J194437.13+254507.0,296.154721,25.751954
SSTSL2 J003147.05-730003.3,7.946077,-73.000923
SSTSL2 J125554.60-623708.6,193.977511,-62.619075
SSTSL2 J132244.94+575806.3,200.687259,57.968425
SSTSL2 J053112.09-715740.2,82.800413,-71.961168
SSTSL2 J010350.82-710725.5,15.961773,-71.123771
SSTSL2 J013536.96-735647.0,23.904034,-73.946396
SSTSL2 J102204.57+595624.9,155.519075,59.940255
SSTSL2 J060224.77-684537.4,90.603235,-68.760401
SSTSL2 J022606.08-741536.2,36.525335,-74.260056
SSTSL2 J055702.15-665228.5,89.258972,-66.874584
SSTSL2 J003432.94-722449.4,8.63729,-72.413743
SSTSL2 J021602.14-750643.9,34.008952,-75.112204
SSTSL2 J221938.06+593133.9,334.908616,59.526092
SSTSL2 J053641.20-011055.7,84.171677,-1.182165
SSTSL2 J105422.60-590637.9,163.594181,-59.110553
SSTSL2 J172435.04+591212.6,261.146004,59.203525
SSTSL2 J142245.07-795143.6,215.68783,-79.86213
SSTSL2 J081753.70-400507.4,124.473772,-40.085401
SSTSL2 J223811.81+584830.6,339.549219,58.808516
SSTSL2 J172021.28+602012.8,260.088667,60.336906
SSTSL2 J022820.75-741838.8,37.086465,-74.310793
SSTSL2 J192810.10+162155.5,292.042118,16.365423
SSTSL2 J015127.66-734814.6,27.865276,-73.804057
SSTSL2 J020213.20-750648.8,30.555031,-75.11358
SSTSL2 J122133.30-792458.8,185.388789,-79.416348
SSTSL2 J011141.91-743432.3,17.924637,-74.57564
SSTSL2 J160914.51+532643.8,242.310466,53.445518
SSTSL2 J162715.42+424016.3,246.814285,42.671221
SSTSL2 J050321.58-652202.3,75.839924,-65.367307
SSTSL2 J052202.22-651045.0,80.509286,-65.179179
SSTSL2 J174613.55+053102.8,266.556492,5.517456
SSTSL2 J012221.65-751857.8,20.590224,-75.316072
SSTSL2 J050225.98-682649.9,75.608282,-68.447197
SSTSL2 J125308.98-620149.6,193.287417,-62.030445
SSTSL2 J050231.83+072712.9,75.632628,7.453588
SSTSL2 J174528.89+052343.3,266.370377,5.39538
SSTSL2 J193520.59+191411.6,293.835806,19.236581
SSTSL2 J025613.31+202249.4,44.055484,20.380395
SSTSL2 J033417.92-285925.8,53.574706,-28.9905
SSTSL2 J162904.53+423243.2,247.268893,42.545345
SSTSL2 J150926.32-571537.7,227.359678,-57.26048
SSTSL2 J143849.35+350434.5,219.705644,35.076264
SSTSL2 J171256.67+603025.5,258.236136,60.507087
SSTSL2 J122250.45-632230.2,185.710244,-63.375066
SSTSL2 J083823.73-525732.3,129.598905,-52.958992
SSTSL2 J052143.23-730120.7,80.430144,-73.022427
SSTSL2 J231930.67+002758.8,349.877806,0.466336
SSTSL2 J084057.06-530148.1,130.237779,-53.030044
SSTSL2 J192840.65+192737.1,292.169399,19.460329
SSTSL2 J104003.14+584847.4,160.013089,58.813189
SSTSL2 J165900.84-440033.7,254.753509,-44.00937
SSTSL2 J221139.88+574525.2,332.916207,57.757017
SSTSL2 J052821.74+014100.5,82.090606,1.683492
